Date,PX_LOW,PX_HIGH,PX_VOLUME,PX_OPEN,PX_CLOSE_1D,BEST_PE_RATIO,CUR_MKT_CAP,BETA_ADJ_OVERRIDABLE,BEST_DIV_YLD
11/4/11,1238.92,1260.82,650549504,1260.82,1261.15,12.6075,11629692,1.06,2.12
11/7/11,1240.75,1261.7,599872256,1253.21,1253.23,12.6848,11700318,1.06,2.11
11/8/11,1254.99,1277.55,659229568,1261.12,1261.12,12.8349,11832413,1.06,2.08
11/9/11,1226.64,1275.18,853225920,1275.18,1275.92,12.3647,11395024,1.06,2.16
11/10/11,1227.7,1246.22,694675520,1229.59,1229.1,12.4672,11488167,1.06,2.14
11/11/11,1240.12,1266.98,576876416,1240.12,1239.69,12.7061,11713571,1.06,2.1
11/14/11,1246.68,1263.85,533713376,1263.85,1263.85,12.577,11602436,1.06,2.12
11/15/11,1244.34,1264.25,624798272,1251.7,1251.78,12.632,11654397,1.06,2.11
11/16/11,1235.67,1259.61,754136704,1257.81,1257.81,12.4207,11459233,1.06,2.15
11/17/11,1209.43,1237.73,823107392,1236.56,1236.91,12.2185,11266720,1.06,2.19
11/18/11,1211.36,1223.51,788257152,1216.19,1216.13,12.2159,11261251,1.06,2.19
11/21/11,1183.16,1215.62,735888640,1215.62,1215.65,11.9927,11049882,1.06,2.23
11/22/11,1181.65,1196.81,675118592,1192.98,1192.98,11.9509,11002985,1.06,2.24
11/23/11,1161.79,1187.48,689939008,1187.48,1188.04,11.6897,10765325,1.06,2.29
11/24/11,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11.6903,10765325,#N/A N/A,#N/A N/A
11/25/11,1158.66,1172.66,336106560,1161.41,1161.79,11.6597,10736042,1.06,2.3
11/28/11,1158.67,1197.35,739485760,1158.67,1158.67,12.0016,11048625,1.06,2.23
11/29/11,1191.8,1203.67,647776448,1192.56,1192.55,12.0289,11073623,1.06,2.23
11/30/11,1196.72,1247.11,1174718848,1196.72,1195.19,12.5516,11550368,1.06,2.13
12/1/11,1239.73,1251.09,616441472,1246.91,1246.96,12.5225,11528588,1.06,2.14
12/2/11,1243.35,1260.08,665004352,1246.03,1244.58,12.5075,11523474,1.06,2.14
12/5/11,1244.33,1266.73,682966016,1244.33,1244.28,12.6295,11647279,1.06,2.12
12/6/11,1253.03,1266.03,595272128,1257.19,1257.08,12.6342,11658617,1.06,2.12
12/7/11,1244.8,1267.06,717721728,1258.14,1258.47,12.6303,11680530,1.06,2.12
12/8/11,1231.47,1260.87,711271040,1260.87,1261.01,12.4002,11431248,1.06,2.16
12/9/11,1234.48,1258.25,608042688,1234.48,1234.35,12.5699,11624853,1.06,2.13
